    ,code    ,time_key            ,open ,close,high ,low  ,pe_ratio,turnover_rate,volume ,turnover          ,change_rate         ,last_close,%k                ,%d                ,%j
79  ,HK.00700,2021-01-05  10:45:00,583.5,584.0,585.0,583.0,0.0     ,0.0          ,520200 ,303865000.0       ,0.0856898029134533  ,583.5     ,90.58548170790766 ,80.8238192767975  ,110.108806570128
80  ,HK.00700,2021-01-05  10:50:00,584.5,586.0,586.5,583.5,0.0     ,0.0          ,625600 ,366083350.0       ,0.3424657534246575  ,584.0     ,91.80274764465943 ,83.56855136897117 ,108.27114019603593
81  ,HK.00700,2021-01-05  10:55:00,586.5,585.0,586.5,584.0,0.0     ,0.0          ,491000 ,287242950.0       ,-0.17064846416382254,586.0     ,88.85206073332672 ,84.8894287101352  ,96.77732477970977
82  ,HK.00700,2021-01-05  11:00:00,585.0,584.0,585.5,584.0,0.0     ,0.0          ,128200 ,74968850.0        ,-0.17094017094017094,585.0     ,82.71047412116157 ,84.34469006286857 ,79.44204223774759
83  ,HK.00700,2021-01-05  11:05:00,584.5,583.5,585.0,583.0,0.0     ,0.0          ,215000 ,125558700.0       ,-0.08561643835616438,584.0     ,74.53285559060949 ,81.89173144472531 ,59.815103882377855
84  ,HK.00700,2021-01-05  11:10:00,583.5,583.5,584.0,582.5,0.0     ,0.0          ,240800 ,140401300.0       ,0.0                 ,583.5     ,67.26327805641901 ,78.23461809756097 ,45.3205979741351
85  ,HK.00700,2021-01-05  11:15:00,583.5,582.5,584.0,582.0,0.0     ,0.0          ,106900 ,62328250.0        ,-0.1713796058269066 ,583.5     ,55.44745854210157 ,72.53782820859357 ,21.266719209117582
86  ,HK.00700,2021-01-05  11:20:00,582.5,582.5,583.0,582.0,0.0     ,0.0          ,96300  ,56079000.0        ,0.0                 ,582.5     ,46.585593906456545,66.04976963297172 ,7.657242453426193
87  ,HK.00700,2021-01-05  11:25:00,582.0,581.5,582.5,581.5,0.0     ,0.0          ,117100 ,68137500.0        ,-0.17167381974248927,582.5     ,34.93919542972449 ,58.272126082081165,-11.726665874988853
88  ,HK.00700,2021-01-05  11:30:00,582.0,581.0,582.0,581.0,0.0     ,0.0          ,85400  ,49659500.0        ,-0.08598452278589853,581.5     ,26.20439657222704 ,50.25519370455676 ,-21.8971976924324
