,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,%k,%d,%j,MACD,MACD_signal,MACD_hist,CG,FL,FS,AMV0,XX01,UP_bound,LOW_bound,H1,H2,H3,H4,H5,JRH,JRL,MA_3,YTSL,CLOSE_1,CLOSE_2,VAR1,VAR1_REF,VAR2,VAR2_REF,VAR3,VAR3_REF,VAR4,VAR4_REF,VAR5,VAR5_REF,VAR6,VAR6_REF,VAR7,VAR7_REF,VAR8,VAR8_REF,VAR9,VAR9_REF,VARA,VARA_REF,VARB,VARB_REF,VARC,VARC_REF,VARD,VARD_REF,VARE,VARE_REF,VARF,VARF_REF,VAR10,VAR10_REF,VAR11,VAR11_REF,VAR12,VAR12_REF,VAR13,VAR13_REF,VAR14,VAR14_REF,VAR15,VAR15_REF,VAR16,VAR16_REF,VAR17,VAR17_REF,VAR18,VAR18_REF,VAR19,VAR1A,RED_HOLD,BLUE_WATCH
116,HK.09988,2020-06-22 00:00:00,216.2,213.0,216.2,212.6,28.015,0.00131,28166629,6034961256.0,-2.73972602739726,219.0,67.1582991985778,67.53309281579709,66.4087119641392,4.328682334135607,4.005313483721945,0.6467377008273232,210.75882352941176,210.75882352941176,210.75882352941176,6044558583.4,197.74794907670676,,,,,,,,219.0,213.0,216.6,214.0,219.0,217.8,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
117,HK.09988,2020-06-23 00:00:00,216.0,220.0,220.0,212.0,28.935,0.00188,40290287,8751727916.0,3.286384976525822,213.0,74.3818822936702,69.24529018526538,84.65506651047986,4.572650632374689,4.118780913452494,0.9077394378443895,212.2705882352941,212.2705882352941,212.2705882352941,8783282566.0,198.00123749340733,,,,,,,,220.0,213.0,217.33333333333334,218.0,213.0,219.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
118,HK.09988,2020-06-24 00:00:00,222.8,221.4,224.8,221.4,29.12,0.00141,30207600,6733812318.0,0.636363636363639,220.0,76.40496842128357,71.03520974426993,87.14448577531084,4.82336481894518,4.259697694551032,1.127334248788296,213.36470588235295,213.36470588235295,213.36470588235295,6709107960.000001,198.20857717277468,,,,,,,,221.4,220.0,218.13333333333333,222.20000000000002,220.0,213.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
119,HK.09988,2020-06-26 00:00:00,217.0,214.6,217.0,214.4,28.225,0.00155,33158894,7148083315.0,-3.0713640469738084,221.4,69.15939641905544,70.56625641296631,66.3456764312337,4.422376049803063,4.292233365601438,0.2602853684032489,214.2235294117647,214.2235294117647,214.2235294117647,7155689325.200001,198.37448042024178,,,,,,,,221.4,214.6,218.66666666666666,215.36666666666665,221.4,220.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
120,HK.09988,2020-06-29 00:00:00,211.0,209.4,211.6,208.6,27.541,0.00158,33824007,7101463811.0,-2.423112767940349,214.6,53.10411521552615,66.20072111360628,26.910903419365894,3.6429987970585955,4.16238645189287,-1.0387753096685497,214.21176470588236,214.2235294117647,214.20000000000002,7109806271.4,198.48192862408675,,,,,,,,214.6,209.4,215.13333333333333,209.9,214.6,221.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
121,HK.09988,2020-06-30 00:00:00,210.6,209.6,212.2,208.4,27.568,0.00113,24171917,5079256128.0,0.0955109837631273,209.4,41.65735470432752,60.064879511286584,4.842305090409383,3.0068143534889487,3.931272032212086,-1.848915357446275,214.12941176470588,214.21176470588236,214.0470588235294,5078519761.7,198.50678115534728,,,,,,,,209.6,209.4,211.20000000000002,210.0,209.4,214.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
122,HK.09988,2020-07-02 00:00:00,211.8,214.4,215.0,210.2,28.199,0.00145,31018228,6615651264.0,2.290076335877868,209.6,40.38935749166027,55.145999006379995,10.876074462220828,2.8570195403960383,3.7164215338488766,-1.7188039869056766,214.25882352941176,214.25882352941176,214.25882352941176,6609984386.800001,198.61240659540644,227.4,167.6,215.97820000000002,204.5564,197.5,190.4436,179.02179999999998,214.4,209.6,211.13333333333333,213.36666666666667,209.6,209.4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
123,HK.09988,2020-07-03 00:00:00,220.0,220.8,221.4,217.2,29.041,0.00146,31233712,6866483138.0,2.9850746268656745,214.4,49.19445714313545,53.65811354056886,40.26714434826863,3.217641615147784,3.6166655501086584,-0.7980478699217493,214.75294117647059,214.75294117647059,214.75294117647059,6883910124.8,198.81705813470546,227.4,167.6,215.97820000000002,204.5564,197.5,190.4436,179.02179999999998,220.8,214.4,214.93333333333337,220.1666666666667,214.4,209.6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
124,HK.09988,2020-07-06 00:00:00,224.0,225.4,226.8,223.0,29.646,0.00198,42489587,9565812073.0,2.083333333333331,220.8,59.9936689443081,55.242002391503675,69.49700204991694,3.8304635641396203,3.659425152914851,0.3420768224495383,215.5176470588235,215.5176470588235,215.5176470588235,9547410198.9,199.23935976926046,227.4,167.6,215.97820000000002,204.5564,197.5,190.4436,179.02179999999998,225.4,220.8,220.20000000000002,225.0,220.8,214.4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
125,HK.09988,2020-07-07 00:00:00,233.2,232.4,239.0,232.0,30.566,0.00217,46585757,10976670178.0,3.1055900621118013,225.4,64.60309484548598,57.58227550499926,78.64473352645942,4.825347272732785,3.892609576878438,1.865475391708693,216.50588235294117,216.50588235294117,216.50588235294117,10845164229.6,199.8853697172394,227.4,167.6,215.97820000000002,204.5564,197.5,190.4436,179.02179999999998,232.4,225.4,226.20000000000002,233.5666666666667,225.4,220.8,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
